KundeNr,Geschlecht,Alter,Einkommen,Niederlassung,Zeit,Preis
K0398,Weiblich,32.0,58361.0,Nordrhein-Westfalen,46.0,71055.84
K0399,Weiblich,41.0,45016.0,Niedersachsen,39.0,65106.71
K0400,Weiblich,55.0,67168.0,Bayern,57.0,95526.72
K0401,Männlich,45.0,46062.0,Nordrhein-Westfalen,25.0,61105.39
K0402,Männlich,66.0,85534.0,Sachsen,59.0,122017.62
K0403,Männlich,51.0,58438.0,Baden-Württemberg,52.0,90811.71
K0404,Männlich,58.0,54668.0,Baden-Württemberg,42.0,99426.78
K0405,Weiblich,43.0,50963.0,Thüringen,34.0,76275.31
K0406,Männlich,57.0,70535.0,Nordrhein-Westfalen,46.0,88743.79
K0407,Männlich,34.0,44113.0,Sachsen,34.0,69211.99
K0408,Männlich,59.0,79812.0,Sachsen,50.0,112833.38
K0409,Weiblich,34.0,25640.0,Hamburg,27.0,59338.04
K0410,Männlich,41.0,39800.0,Niedersachsen,45.0,79421.65
K0411,Männlich,45.0,60218.0,Hamburg,41.0,102902.04
K0412,Männlich,55.0,56264.0,Baden-Württemberg,40.0,83364.29
K0413,Männlich,55.0,66738.0,Düsseldorf,52.0,120215.5
K0414,Männlich,50.0,32462.0,Brandenburg,30.0,65554.28
K0415,Männlich,68.0,107689.0,Niedersachsen,60.0,88931.455
K0416,Männlich,65.0,72055.0,Brandenburg,51.0,105462.29
K0417,Männlich,62.0,84673.0,Brandenburg,57.0,118973.65
K0418,Männlich,59.0,64816.0,Baden-Württemberg,54.0,102801.02
K0419,Männlich,66.0,80562.0,Bayern,48.0,121433.27
K0420,Männlich,52.0,77055.0,Baden-Württemberg,60.0,121764.28
K0421,Weiblich,39.0,59413.0,Baden-Württemberg,44.0,80369.74
K0422,Weiblich,34.0,39127.0,Thüringen,27.0,71127.46
K0423,Männlich,65.0,73513.0,Baden-Württemberg,43.0,119578.06
K0424,Männlich,63.0,83693.0,Bayern,70.0,119357.7
K0425,Männlich,60.0,94859.0,Hessen,61.0,138156.74
K0426,Männlich,39.0,48855.0,Hessen,46.0,68265.8
K0427,Weiblich,48.0,77759.0,Baden-Württemberg,42.0,130352.49
K0428,Männlich,61.0,68022.0,Nordrhein-Westfalen,67.0,77134.04
K0429,Weiblich,30.0,47328.0,Nordrhein-Westfalen,45.0,72459.7
K0430,Männlich,34.0,53286.0,Bayern,40.0,57023.34
K0431,Männlich,33.0,35813.0,Bayern,31.0,54223.32
K0432,Weiblich,45.0,45178.0,Sachsen,43.0,70342.95
K0433,Weiblich,53.0,74381.0,Nordrhein-Westfalen,57.0,120881.72
K0434,Weiblich,45.0,47515.0,Niedersachsen,40.0,66554.21
K0435,Weiblich,31.0,28390.0,Baden-Württemberg,29.0,59963.88
K0436,Männlich,57.0,58882.0,Berlin,48.0,80802.02
K0437,Weiblich,61.0,64831.0,Hessen,35.0,113585.7
K0438,Männlich,56.0,74505.0,Baden-Württemberg,50.0,103566.8
K0439,Weiblich,49.0,63205.0,Berlin,35.0,92627.74
K0440,Männlich,53.0,69721.0,Hessen,54.0,98479.34
K0441,Weiblich,41.0,53509.0,Bayern,37.0,90805.35
K0442,Männlich,64.0,67455.0,Nordrhein-Westfalen,38.0,116446.72
K0443,Männlich,62.0,79285.0,Nordrhein-Westfalen,49.0,121004.55
K0444,Männlich,62.0,84548.0,Bayern,58.0,110128.73
K0445,Weiblich,66.0,82404.0,Nordrhein-Westfalen,55.0,113241.16
K0446,Männlich,41.0,53816.0,Baden-Württemberg,34.0,68749.31
K0447,Männlich,32.0,30856.0,Nordrhein-Westfalen,44.58485401459854,27934.83
K0448,Männlich,30.0,39302.0,Baden-Württemberg,35.0,71437.17
K0449,Männlich,62.0,62829.0,Baden-Württemberg,42.0,96175.78
K0450,Weiblich,69.0,79059.0,Niedersachsen,53.0,115211.31
K0451,Männlich,39.0,28981.0,Berlin,28.0,67912.67
K0452,Weiblich,58.0,49680.0,Sachsen,43.0,77792.44
K0453,Männlich,42.0,47953.0,Bayern,45.0,65155.0
K0454,Männlich,41.0,42992.0,Bayern,38.0,65811.72
K0455,Weiblich,60.0,70713.0,Brandenburg,48.0,93794.62
K0456,Weiblich,31.0,36628.0,Berlin,33.0,58605.27
K0457,Männlich,64.0,74222.0,Bayern,50.0,108488.51
K0458,Männlich,52.0,67475.0,Niedersachsen,37.0,93897.2
K0459,Weiblich,46.0,49340.0,Nordrhein-Westfalen,47.0,69960.66
K0460,Männlich,55.0,61750.0,Nordrhein-Westfalen,52.0,93666.44
K0461,Weiblich,37.0,60379.0,Thüringen,59.0,83542.5
K0462,Weiblich,58.0,67418.0,Bayern,65.0,95613.26
K0463,Weiblich,55.0,62186.0,Niedersachsen,38.0,90301.78
K0464,Männlich,39.0,47664.0,Berlin,36.0,71040.72
K0465,Weiblich,55.0,62380.0,Niedersachsen,64.0,92302.99
K0466,Männlich,63.0,65114.0,Berlin,47.0,102718.58
K0467,Männlich,70.0,69581.0,Thüringen,51.0,103751.58
K0468,Männlich,36.0,35235.0,Nordrhein-Westfalen,22.0,67764.25
K0469,Männlich,33.0,49726.0,Thüringen,41.0,71847.89
K0470,Weiblich,40.0,41023.0,Nordrhein-Westfalen,49.0,59175.54
K0471,Weiblich,58.0,65705.0,Sachsen,57.0,102678.3
K0472,Weiblich,65.0,82579.0,Nordrhein-Westfalen,52.0,119442.59
K0473,Männlich,54.0,60025.0,Berlin,42.0,74740.62
K0474,Männlich,50.0,65573.0,Bayern,40.0,99556.57
K0475,Männlich,65.0,58270.0,Berlin,38.0,85983.74
K0476,Weiblich,39.0,45332.0,Baden-Württemberg,24.0,77782.69
K0477,Männlich,66.0,76920.0,Hamburg,53.0,113661.11
K0478,Weiblich,38.0,45935.0,Brandenburg,49.0,76303.93
K0479,Männlich,53.0,44034.0,Hamburg,40.0,69020.15
K0480,Männlich,64.0,86943.0,Thüringen,68.0,126122.42
K0481,Weiblich,64.0,64626.0,Sachsen,55.0,113550.22
K0482,Männlich,65.0,78613.0,Baden-Württemberg,50.0,114603.28
K0483,Weiblich,47.0,55536.0,Bayern,37.0,76897.16
K0484,Weiblich,68.0,89120.0,Berlin,55.0,135200.0
K0485,Männlich,61.0,94363.0,Bayern,50.0,137974.71
K0486,Männlich,53.0,47966.0,Nordrhein-Westfalen,39.0,73902.32
K0487,Männlich,52.0,53837.0,Hamburg,22.0,64750.35
K0488,Weiblich,61.0,72690.0,Hessen,55.0,101692.85
K0489,Männlich,66.0,64077.0,Nordrhein-Westfalen,48.0,109821.52
K0490,Männlich,41.0,57422.0,Nordrhein-Westfalen,47.0,75053.42
K0491,Männlich,42.0,59171.0,Baden-Württemberg,52.0,85183.22
K0492,Weiblich,52.0,66942.0,Niedersachsen,50.0,90579.78
K0493,Männlich,54.0,65610.0,Berlin,59.0,78467.12
K0494,Weiblich,51.0,88749.0,Bayern,64.0,119134.23
K0495,Weiblich,70.0,67872.0,Baden-Württemberg,44.0,114545.55
K0496,Männlich,59.0,69178.0,Brandenburg,48.0,80282.57
K0497,Männlich,46.0,46352.0,Bayern,22.0,76759.63
K0498,Weiblich,49.0,67271.0,Bayern,42.0,83949.89
K0499,Männlich,54.0,43162.0,Niedersachsen,34.0,81298.0
K0500,Weiblich,51.0,59485.0,Nordrhein-Westfalen,49.0,96388.95
K0501,Männlich,42.0,53660.0,Bayern,37.0,77862.18
K0502,Männlich,48.0,46259.0,Baden-Württemberg,29.0,73400.97
K0503,Weiblich,65.0,68189.0,Nordrhein-Westfalen,36.0,97143.57
K0504,Männlich,41.0,49106.0,Baden-Württemberg,35.0,60659.78
K0505,Männlich,70.0,90763.0,Sachsen,74.0,149827.25
K0506,Männlich,48.0,45333.0,Hessen,40.0,65343.65
K0507,Männlich,41.0,39630.0,Bayern,41.0,80659.67
K0508,Männlich,38.0,57891.0,Bayern,38.0,73104.4
K0509,Männlich,36.0,40554.0,Baden-Württemberg,24.0,68345.72
K0510,Weiblich,57.0,57867.0,Bayern,35.0,78941.48
K0511,Männlich,43.0,59012.0,Baden-Württemberg,44.0,91000.76
K0512,Weiblich,60.0,64260.0,Hessen,33.0,95392.37
K0513,Männlich,48.0,67677.0,Baden-Württemberg,42.0,94002.32
K0514,Weiblich,45.0,46082.0,Hamburg,34.0,78379.94
K0515,Männlich,34.0,39614.0,Hessen,26.0,56174.25
K0516,Weiblich,64.0,84143.0,Bayern,42.0,106701.56
K0517,Männlich,41.0,46486.0,Baden-Württemberg,40.0,79483.05
K0518,Männlich,54.0,71244.0,Baden-Württemberg,51.0,92301.85
K0519,Männlich,50.0,57994.0,Baden-Württemberg,49.0,93543.59
K0520,Männlich,65.0,96471.0,Nordrhein-Westfalen,55.0,145684.18
K0521,Männlich,52.0,77888.0,Bayern,59.0,105968.69
K0522,Männlich,45.0,38876.0,Nordrhein-Westfalen,45.0,78038.11
K0523,Weiblich,68.0,83899.0,Berlin,59.0,128052.56
K0524,Männlich,68.0,69381.0,Berlin,45.0,102303.37
K0525,Männlich,43.0,53186.0,Hamburg,43.0,93969.09
K0526,Männlich,60.0,70296.0,Niedersachsen,46.0,94507.15
K0527,Weiblich,34.0,29899.0,Bayern,24.0,45878.08
K0528,Männlich,64.0,85374.0,Baden-Württemberg,62.0,121684.52
K0529,Männlich,52.0,63079.0,Hessen,46.0,100733.46
K0530,Männlich,58.0,64297.0,Bayern,56.0,110338.33
K0531,Weiblich,40.0,43103.0,Berlin,33.0,77219.0
K0532,Weiblich,47.0,56965.0,Niedersachsen,41.0,86689.81
K0533,Männlich,41.0,53363.0,Brandenburg,38.0,75926.68
K0534,Weiblich,38.0,44329.0,Hessen,29.0,48028.91
K0535,Weiblich,39.0,16051.0,Hamburg,29.0,24654.09
K0536,Männlich,46.0,54548.0,Nordrhein-Westfalen,58.0,100672.01
K0537,Weiblich,67.0,61517.0,Niedersachsen,43.0,80799.11
K0538,Männlich,36.0,41243.0,Hamburg,31.0,55677.0
K0539,Männlich,42.0,34792.0,Niedersachsen,27.0,71876.74
K0540,Männlich,69.0,63958.0,Nordrhein-Westfalen,42.0,106491.22
K0541,Männlich,38.0,59079.0,Berlin,56.0,92587.82
K0542,Männlich,56.0,61743.0,Berlin,41.0,100812.37
K0543,Weiblich,31.0,33788.0,Nordrhein-Westfalen,28.0,67174.26
K0544,Männlich,34.0,46577.0,Hessen,30.0,71156.2
K0545,Männlich,58.0,63366.0,Baden-Württemberg,49.0,104762.36
K0546,Männlich,66.0,98881.0,Sachsen,64.0,131352.24
K0547,Weiblich,67.0,74189.0,Baden-Württemberg,44.0,118596.14
K0548,Männlich,48.0,60494.0,Nordrhein-Westfalen,39.0,85749.76
K0549,Männlich,37.0,55129.0,Nordrhein-Westfalen,53.0,73887.77
K0550,Männlich,30.0,54381.0,Thüringen,42.0,83223.78
K0551,Männlich,51.0,51743.0,Baden-Württemberg,42.0,91562.01
K0552,Weiblich,46.0,49832.0,Hessen,41.0,93781.58
K0553,Weiblich,36.0,57337.0,Berlin,53.0,95615.03
K0554,Männlich,54.0,71830.0,Bayern,44.0,113981.18
K0555,Weiblich,33.0,51920.0,Baden-Württemberg,38.0,54310.26
K0556,Männlich,65.0,60136.0,Hessen,44.0,116989.74
K0557,Weiblich,35.0,59218.0,Berlin,33.0,89824.77
K0558,Männlich,60.0,61297.0,Baden-Württemberg,39.0,89077.09
K0559,Männlich,48.0,58620.0,Hessen,52.0,95311.77
K0560,Männlich,68.0,76627.0,Nordrhein-Westfalen,59.0,106279.31
K0561,Weiblich,56.0,55688.0,Nordrhein-Westfalen,49.0,94116.03
K0562,Männlich,39.0,31451.0,Sachsen,27.0,41728.39
K0563,Männlich,55.0,45218.0,Berlin,34.0,69467.58
K0564,Männlich,48.0,57825.0,Thüringen,31.0,94299.04
K0565,Weiblich,68.0,61693.0,Nordrhein-Westfalen,52.0,111218.49
K0566,Männlich,32.0,26878.0,Bayern,36.0,50126.6
K0567,Weiblich,42.0,47660.0,Baden-Württemberg,46.0,69281.41
K0568,Weiblich,57.0,37682.0,Berlin,45.0,48170.28
K0569,Männlich,49.0,66068.0,Berlin,51.0,93925.34
K0570,Weiblich,57.0,40164.0,Hessen,46.0,77779.65
K0571,Männlich,37.0,43760.0,Hessen,35.0,63570.42
K0572,Weiblich,70.0,80568.0,Nordrhein-Westfalen,43.0,120515.75
K0573,Männlich,68.0,84070.0,Brandenburg,63.0,122645.18
K0574,Weiblich,30.0,36552.0,Baden-Württemberg,21.0,51200.08
K0575,Weiblich,32.0,61059.0,Nordrhein-Westfalen,47.0,81549.78
K0576,Weiblich,42.0,52370.0,Bayern,48.0,74270.35
K0577,Weiblich,57.0,77726.0,Thüringen,56.0,125762.16
K0578,Männlich,54.0,55199.0,Baden-Württemberg,59.0,64942.31
K0579,Männlich,62.0,73034.0,Thüringen,38.0,104459.86
K0580,Weiblich,67.0,93933.0,Baden-Württemberg,61.0,124053.4
K0581,Männlich,35.0,39852.0,Bayern,35.0,63972.97
K0582,Männlich,61.0,72725.0,Baden-Württemberg,42.0,109982.32
K0583,Weiblich,50.0,69342.0,Niedersachsen,42.0,115292.51
K0584,Weiblich,45.0,45230.0,Nordrhein-Westfalen,32.0,91201.91
K0585,Weiblich,50.0,35262.0,Berlin,25.0,55722.36
K0586,Männlich,40.0,50626.0,Sachsen,40.0,75452.53
K0587,Weiblich,66.0,86787.0,Hessen,54.0,127064.84
K0588,Männlich,65.0,60323.0,Niedersachsen,47.0,90362.92
K0589,Weiblich,64.0,81163.0,Nordrhein-Westfalen,60.0,124639.62
K0590,Männlich,48.0,63876.0,Bayern,51.0,90833.08
K0591,Weiblich,49.0,32964.0,Bayern,29.0,49823.49
K0592,Weiblich,47.0,45296.0,Sachsen,40.0,69529.36
K0593,Männlich,70.0,76112.0,Sachsen,60.0,107199.46
K0594,Weiblich,43.0,49162.0,Thüringen,43.0,84864.12
K0595,Männlich,44.0,44135.0,Sachsen,50.0,90278.48
K0596,Weiblich,60.0,60911.0,Baden-Württemberg,52.0,97769.6
K0597,Weiblich,30.0,55132.0,Nordrhein-Westfalen,55.0,74760.4
K0598,Männlich,32.0,38008.0,Berlin,44.58485401459854,59823.29
K0599,Weiblich,45.0,45742.0,Thüringen,39.0,83874.88
K0600,Weiblich,52.0,60428.0,Berlin,43.0,102443.11
K0601,Männlich,40.0,53679.0,Berlin,41.0,77410.61
K0602,Männlich,41.0,49499.0,Hamburg,34.0,77389.91
K0603,Weiblich,39.0,44538.0,Bayern,40.0,74086.48
K0604,Weiblich,61.0,63590.0,Baden-Württemberg,34.0,86929.76
K0605,Weiblich,45.0,46099.0,Sachsen,41.0,84552.86
K0606,Weiblich,37.0,38116.0,Nordrhein-Westfalen,29.0,77480.16
K0607,Männlich,67.0,80824.0,Baden-Württemberg,52.0,132575.6
K0608,Weiblich,41.0,38158.0,Nordrhein-Westfalen,37.0,49170.73
K0609,Männlich,53.0,66225.0,Hessen,49.0,78191.01
K0610,Männlich,57.0,81624.0,Berlin,63.0,123507.46
K0611,Männlich,37.0,48132.0,Bayern,32.0,63544.0
K0612,Männlich,57.0,62292.0,Nordrhein-Westfalen,46.0,99289.0
K0613,Männlich,65.0,60902.0,Niedersachsen,52.0,114790.5
K0614,Männlich,55.0,81244.0,Hamburg,58.0,108119.52
K0615,Weiblich,37.0,31911.0,Hessen,34.0,49510.98
K0616,Männlich,57.0,75502.0,Baden-Württemberg,61.0,112788.96
K0617,Männlich,57.0,73224.0,Berlin,49.0,94361.83
K0618,Männlich,66.0,73497.0,Baden-Württemberg,47.0,104863.39
K0619,Männlich,70.0,77553.0,Bayern,58.0,119128.85
K0620,Männlich,65.0,55071.0,Niedersachsen,41.0,90033.88
K0621,Männlich,56.0,68794.0,Sachsen,57.0,108744.79
K0622,Männlich,46.0,61088.0,Berlin,48.0,117616.31
K0623,Weiblich,38.0,33873.0,Bayern,28.0,56924.35
K0624,Männlich,62.0,70035.0,Niedersachsen,52.0,98348.59
K0625,Männlich,49.0,58030.0,Nordrhein-Westfalen,38.0,102268.68
K0626,Männlich,42.0,56364.0,Nordrhein-Westfalen,50.0,66173.96
K0627,Weiblich,57.0,66341.0,Nordrhein-Westfalen,38.0,85104.71
K0628,Männlich,58.0,49747.0,Hamburg,48.0,77878.69
K0629,Männlich,42.0,44277.0,Nordrhein-Westfalen,39.0,67064.45
K0630,Männlich,64.0,76331.0,Baden-Württemberg,52.0,108153.91
K0631,Männlich,35.0,51556.0,Bayern,46.0,73467.98
K0632,Männlich,47.0,48751.0,Berlin,43.0,79984.29
K0633,Männlich,34.0,65070.0,Hamburg,57.0,98105.63
K0634,Männlich,54.0,42499.0,Sachsen,45.0,75331.36
K0635,Männlich,31.0,31976.0,Nordrhein-Westfalen,33.0,45789.83
K0636,Männlich,39.0,45869.0,Baden-Württemberg,32.0,80389.23
K0637,Weiblich,59.0,66293.0,Baden-Württemberg,44.0,91936.18
K0638,Weiblich,34.0,27982.0,Bayern,28.0,31074.53
K0639,Weiblich,62.0,76582.0,Bayern,61.0,124774.93
K0640,Weiblich,30.0,41029.0,Hessen,32.0,70761.65
K0641,Männlich,47.0,55970.0,Sachsen,40.0,76520.05
K0642,Männlich,61.0,74239.0,Thüringen,65.0,106676.91
K0643,Männlich,40.0,43259.0,Niedersachsen,36.0,58493.0
K0644,Männlich,50.0,41164.0,Nordrhein-Westfalen,31.0,74268.93
K0645,Weiblich,55.0,56358.0,Hamburg,49.0,105656.62
K0646,Männlich,54.0,64748.0,Bayern,47.0,104496.28
K0647,Weiblich,51.0,61555.0,Hamburg,36.0,101804.21
K0648,Männlich,56.0,65663.0,Hessen,55.0,107678.5
K0649,Weiblich,42.0,55975.0,Nordrhein-Westfalen,38.0,80767.86
K0650,Männlich,62.0,65422.0,Bayern,48.0,113261.61
K0651,Männlich,63.0,73099.0,Bayern,51.0,118236.17
K0652,Männlich,70.0,86609.0,Bayern,60.0,142906.55
K0653,Männlich,64.0,72974.0,Thüringen,36.0,106325.73
K0654,Männlich,30.0,23521.0,Berlin,24.0,24543.56
K0655,Männlich,50.0,48277.0,Nordrhein-Westfalen,47.0,88936.09
K0656,Weiblich,35.0,51440.0,Nordrhein-Westfalen,50.0,76009.29
K0657,Männlich,57.0,81401.0,Bayern,49.0,113014.09
K0658,Männlich,46.0,67111.0,Hessen,55.0,93112.35
K0659,Männlich,34.0,43862.0,Sachsen,32.0,91438.09
K0660,Weiblich,60.0,56507.0,Berlin,41.0,84172.64
K0661,Männlich,34.0,41276.0,Sachsen,33.0,53961.89
K0662,Männlich,67.0,94092.0,Bayern,63.0,135212.01
K0663,Männlich,32.0,45882.0,Baden-Württemberg,45.0,78435.1
K0664,Männlich,52.0,58625.0,Sachsen,46.0,113237.35
K0665,Weiblich,66.0,82882.0,Nordrhein-Westfalen,56.0,127752.43
K0666,Männlich,66.0,62298.0,Thüringen,53.0,88092.7
K0667,Männlich,39.0,39225.0,Niedersachsen,29.0,83313.68
K0668,Weiblich,39.0,35011.0,Sachsen,32.0,57408.01
K0669,Männlich,48.0,61627.0,Nordrhein-Westfalen,53.0,82405.97
K0670,Männlich,46.0,62109.0,Nordrhein-Westfalen,50.0,79387.46
K0671,Männlich,50.0,57036.0,Hessen,40.0,95823.72
K0672,Weiblich,43.0,41643.0,Berlin,25.0,68969.85
K0673,Männlich,38.0,45470.0,Sachsen,40.0,72615.51
K0674,Weiblich,30.0,31727.0,Berlin,20.0,62658.18
K0675,Männlich,42.0,41390.0,Hamburg,34.0,58786.52
K0676,Männlich,33.0,43936.0,Berlin,45.0,78850.36
K0677,Männlich,30.0,28784.0,Berlin,34.0,42416.07
K0678,Weiblich,69.0,62333.0,Berlin,32.0,123546.58
K0679,Männlich,61.0,56063.0,Berlin,44.0,98148.54
K0680,Weiblich,63.0,55422.0,Sachsen,40.0,81784.14
K0681,Weiblich,57.0,68984.0,Berlin,41.0,81325.05
K0682,Männlich,60.0,71186.0,Hessen,53.0,115349.19
K0683,Männlich,37.0,45690.0,Baden-Württemberg,34.0,64971.82
K0684,Männlich,68.0,84609.0,Baden-Württemberg,54.0,123507.33
K0685,Männlich,55.0,77056.0,Bayern,54.0,118343.37
K0686,Weiblich,63.0,66387.0,Niedersachsen,44.0,112799.7
K0687,Weiblich,32.0,43583.0,Baden-Württemberg,37.0,75274.62
K0688,Männlich,41.0,31809.0,Sachsen,27.0,44588.0
K0689,Männlich,30.0,51957.0,Bayern,37.0,86152.97
K0690,Weiblich,34.0,27844.0,Bayern,36.0,41694.48
K0691,Männlich,59.0,60769.0,Baden-Württemberg,53.0,72785.83
K0692,Weiblich,59.0,61988.0,Baden-Württemberg,34.0,83817.23
K0693,Männlich,46.0,37812.0,Nordrhein-Westfalen,39.0,67614.67
K0694,Weiblich,52.0,61228.0,Nordrhein-Westfalen,55.0,81411.98
K0695,Männlich,44.0,54514.0,Hessen,53.0,80645.05
K0696,Männlich,66.0,74011.0,Baden-Württemberg,56.0,116589.56
K0697,Männlich,50.0,42001.0,Bayern,29.0,69941.72
K0698,Männlich,43.0,72619.0,Berlin,56.0,94619.66
K0699,Männlich,31.0,44046.0,Thüringen,31.0,51186.35
K0700,Weiblich,40.0,76423.0,Bayern,51.0,101008.49
K0701,Weiblich,68.0,58894.676657584016,Nordrhein-Westfalen,52.0,87209.72
K0702,Männlich,67.0,87538.0,Berlin,53.0,120582.75
K0703,Männlich,63.0,81261.0,Bayern,48.0,109555.23
K0704,Männlich,67.0,73998.0,Berlin,55.0,111198.78
K0705,Männlich,63.0,88113.0,Baden-Württemberg,72.0,123910.94
K0706,Männlich,47.0,51053.0,Nordrhein-Westfalen,49.0,89354.82
K0707,Männlich,59.0,64556.0,Bayern,52.0,115909.26
K0708,Männlich,44.0,14547.0,Nordrhein-Westfalen,29.0,28960.3
K0709,Männlich,56.0,69651.0,Baden-Württemberg,54.0,123769.4
K0710,Männlich,63.0,58435.0,Thüringen,47.0,87561.26
K0711,Männlich,67.0,71177.0,Baden-Württemberg,57.0,112500.75
K0712,Weiblich,62.0,60595.0,Sachsen,36.0,101207.94
K0713,Männlich,53.0,57988.0,Nordrhein-Westfalen,45.0,114801.87
K0714,Weiblich,44.0,57008.0,Thüringen,43.0,77339.83
K0715,Männlich,59.0,68591.0,Berlin,50.0,85536.41
K0716,Männlich,46.0,62061.0,Nordrhein-Westfalen,43.0,105588.24
K0717,Weiblich,34.0,55070.0,Berlin,46.0,67139.29
K0718,Weiblich,58.0,63385.0,Baden-Württemberg,41.0,93077.19
K0719,Weiblich,33.0,35069.0,Berlin,29.0,43110.27
K0720,Männlich,39.0,57156.0,Baden-Württemberg,39.0,77986.08
K0721,Männlich,46.0,65611.0,Thüringen,54.0,85435.92
K0722,Weiblich,39.0,54801.0,Baden-Württemberg,42.0,84900.44
K0723,Männlich,46.0,44038.0,Hessen,34.0,72625.61
K0724,Männlich,49.0,62203.0,Hessen,43.0,85122.57
K0725,Männlich,53.0,63147.0,Hamburg,47.0,105317.06
K0726,Männlich,34.0,52759.0,Niedersachsen,53.0,77110.67
K0727,Weiblich,63.0,66597.0,Baden-Württemberg,40.0,83837.24
K0728,Männlich,35.0,24355.0,Hessen,32.0,55167.61
K0729,Männlich,31.0,45575.0,Bayern,41.0,67425.51
K0730,Männlich,42.0,22279.0,Sachsen,20.0,61502.53
K0731,Männlich,40.0,39921.0,Nordrhein-Westfalen,45.0,65687.09
K0732,Männlich,52.0,49778.0,Thüringen,44.0,72763.75
K0733,Männlich,45.0,42110.0,Baden-Württemberg,33.0,67204.52
K0734,Männlich,60.0,61431.0,Bayern,33.0,105250.41
K0735,Weiblich,40.0,61057.0,Baden-Württemberg,47.0,77084.28
K0736,Männlich,45.0,62178.0,Baden-Württemberg,46.0,85463.8
K0737,Männlich,37.0,41869.0,Bayern,29.0,62593.9
K0738,Weiblich,33.0,52554.0,Niedersachsen,34.0,60796.8
K0739,Weiblich,69.0,67799.0,Bayern,55.0,99345.38
K0740,Männlich,33.0,27264.0,Brandenburg,44.58485401459854,49485.54
K0741,Männlich,54.0,72410.0,Sachsen,53.0,117491.52
K0742,Männlich,32.0,45461.0,Niedersachsen,36.0,69182.41
K0743,Weiblich,61.0,65648.0,Berlin,51.0,100202.5
K0744,Weiblich,32.0,26860.0,Berlin,26.0,37058.29
K0745,Weiblich,56.0,81045.0,Berlin,58.0,125101.5
K0746,Männlich,58.0,48730.0,Baden-Württemberg,34.0,87338.42
K0747,Weiblich,61.0,64150.0,Niedersachsen,47.0,91908.79
K0748,Männlich,48.0,59014.0,Bayern,48.0,97451.48
K0749,Männlich,50.0,78249.0,Nordrhein-Westfalen,55.0,114846.09
K0750,Männlich,34.0,45499.0,Nordrhein-Westfalen,40.0,58717.86
K0751,Weiblich,47.0,60658.0,Hessen,39.0,87172.44
K0752,Männlich,57.0,60125.0,Bayern,41.0,89090.25
K0753,Weiblich,51.0,65955.0,Bayern,44.0,122657.88
K0754,Männlich,50.0,59847.0,Nordrhein-Westfalen,43.0,95607.73
K0755,Männlich,35.0,25203.0,Brandenburg,37.0,48554.06
K0756,Männlich,30.0,45604.0,Bayern,35.0,69872.12
K0757,Männlich,34.0,51868.0,Baden-Württemberg,33.0,87676.29
K0758,Weiblich,70.0,89117.0,Baden-Württemberg,63.0,128700.13
K0759,Männlich,41.0,49301.0,Nordrhein-Westfalen,49.0,68579.84
K0760,Weiblich,55.0,53760.0,Bayern,33.0,93912.15
K0761,Weiblich,63.0,47767.0,Hamburg,53.0,81512.67
K0762,Weiblich,43.0,52813.0,Berlin,44.0,67106.32
K0763,Männlich,55.0,75863.0,Hessen,60.0,96369.11
K0764,Männlich,56.0,76011.0,Nordrhein-Westfalen,63.0,125585.18
K0765,Männlich,38.0,54535.0,Nordrhein-Westfalen,49.0,79772.26
K0766,Weiblich,55.0,63325.0,Berlin,46.0,89117.31
K0767,Weiblich,51.0,71583.0,Baden-Württemberg,59.0,99159.39
K0768,Männlich,59.0,78492.0,Berlin,56.0,122336.16
K0769,Weiblich,46.0,49781.0,Hessen,48.0,73484.48
K0770,Männlich,55.0,71467.0,Hessen,59.0,89954.18
K0771,Männlich,65.0,69167.0,Niedersachsen,42.0,110950.37
K0772,Männlich,30.0,42861.0,Baden-Württemberg,42.0,74561.85
K0773,Weiblich,37.0,30511.0,Niedersachsen,29.0,63585.76
K0774,Männlich,64.0,60640.0,Baden-Württemberg,46.0,92602.45
K0775,Weiblich,44.0,63671.0,Nordrhein-Westfalen,48.0,102706.73
K0776,Weiblich,51.0,69957.0,Bayern,51.0,102053.63
K0777,Weiblich,43.0,57981.0,Niedersachsen,55.0,96036.67
K0778,Männlich,55.0,65084.0,Baden-Württemberg,38.0,104045.73
K0779,Männlich,57.0,40366.0,Berlin,23.0,58229.04
K0780,Männlich,52.0,60063.0,Niedersachsen,31.0,109287.55
K0781,Männlich,43.0,56035.0,Bayern,51.0,83116.94
K0782,Männlich,53.0,56160.0,Nordrhein-Westfalen,38.0,93839.56
K0783,Weiblich,31.0,30362.0,Niedersachsen,31.0,34904.28
K0784,Männlich,55.0,79794.0,Hessen,54.0,118498.73
K0785,Männlich,43.0,50456.0,Bayern,34.0,88108.0
K0786,Männlich,36.0,48447.0,Brandenburg,45.0,90879.99
K0787,Männlich,32.0,47570.0,Hessen,38.0,82420.11
K0788,Männlich,52.0,50014.0,Berlin,38.0,86755.55
K0789,Männlich,47.0,57545.0,Niedersachsen,45.0,70459.81
K0790,Weiblich,67.0,91461.0,Berlin,66.0,131748.07
K0791,Männlich,64.0,93624.0,Bayern,55.0,126237.04
K0792,Weiblich,44.0,52628.0,Bayern,47.0,80768.14
K0793,Weiblich,54.0,60464.0,Baden-Württemberg,55.0,79245.06
K0794,Männlich,66.0,78982.0,Bayern,45.0,116107.59
